Country,LONG,LAT,Point_ID,NUTS_1,NUTS_2,NUTS_3,P,N,K,CaCO3,pH_CaCl2,pH_H20,EC,OC,Land Cover,Land Description,Land Use,Revisited_point,Soil_Stones
Sweden,11.232474308,58.987374464,43923988,SE2,SE23,SE232,37.1,6.4,187.7,0,3.1,4.1,24.9,164.5,Woodland,Other coniferous woodland,FORESTRY,Yes,1
Sweden,11.425448272,58.607676059,44043946,SE2,SE23,SE232,70.8,19.5,555.9,1,3.3,4.28,102.1,497.1,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,11.490370553,58.517027103,44083936,SE2,SE23,SE232,51.2,17.1,459.3,0,3.5,4.33,130.6,449.7,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,11.933636389,58.47545213,44343932,SE2,SE23,SE232,74.5,14.4,125.4,0,3.4,3.93,69.7,300.3,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,12.445630255,58.953126526,44623986,SE2,SE23,SE232,18.2,2.7,55.5,0,3.9,4.52,11.79,87.9,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,11.681529293,58.208957792,44203902,SE2,SE23,SE232,45.4,5.3,102.3,1,3.5,4.44,23.4,89.7,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,14.410158186,63.450976894,45424490,SE3,SE32,SE322,63.6,19.9,600.9,0,5.1,5.5,29.9,503.1,Woodland,Pine dominated mixed woodland,FORESTRY,Yes,1
Sweden,23.644003172,67.286738657,49104966,SE3,SE33,SE332,42.6,1.8,39.9,0,3.9,4.37,8.28,37.3,Woodland,Broadleaved woodland,FORESTRY,Yes,1
Sweden,18.017991841,59.427363798,47764062,SE1,SE11,SE110,55.1,8.6,293.9,0,3.6,4.35,40.7,205.9,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,2
Sweden,18.128239551,59.29420925,47844048,SE1,SE11,SE110,27.9,4.4,107.0,0,3.7,4.44,15.7,97.8,Woodland,Pine dominated coniferous woodland,"Amenities, museum, leisure (e.g. parks, botanical gardens)",Yes,2
Sweden,18.043614083,59.081989513,47824024,SE1,SE11,SE110,51.7,12.0,371.2,0,3.1,4.0,40.0,337.1,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,16.778268093,59.240620204,47084034,SE1,SE12,SE122,37.7,5.6,149.9,0,3.0,3.81,13.22,120.9,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,16.938025954,59.160384443,47184026,SE1,SE12,SE122,58.5,16.6,175.9,0,3.1,3.75,20.8,449.5,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,16.528124756,58.65671486,47003968,SE1,SE12,SE123,14.9,1.8,41.9,0,3.1,4.05,8.02,55.0,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,16.188504696,58.690651495,46803970,SE1,SE12,SE123,57.9,18.7,237.1,0,3.1,4.03,38.5,421.9,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,14.586210857,63.554308979,45504502,SE3,SE32,SE322,33.7,13.2,153.4,0,5.1,5.47,36.0,291.4,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,14.609136883,63.445181452,45524490,SE3,SE32,SE322,44.8,17.4,825.3,0,6.4,6.81,56.7,472.8,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,13.812756578,63.773928576,45104524,SE3,SE32,SE322,40.2,17.5,331.9,0,3.8,4.92,12.16,485.7,Wetlands,Peatbogs,Semi-natural and natural areas not in use,Yes,1
Sweden,14.918312675,63.381428965,45684484,SE3,SE32,SE322,41.5,20.3,160.4,0,6.6,6.79,126.5,368.5,Woodland,Pine dominated mixed woodland,FORESTRY,Yes,2
Sweden,13.547109058,57.470630395,45343824,SE2,SE23,SE232,34.3,9.1,75.8,0,3.4,4.57,13.31,223.7,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,4
Sweden,16.486165355,61.785074619,46644314,SE3,SE31,SE313,84.0,6.9,136.5,0,3.1,4.1,24.7,227.6,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,17.038594115,59.137200539,47244024,SE1,SE12,SE122,27.2,15.3,128.5,0,4.4,4.68,79.8,255.8,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),Yes,1
Sweden,14.974464144,58.902675188,46083988,SE1,SE12,SE124,12.6,1.6,34.1,0,3.9,3.99,20.2,37.6,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,22.927359796,67.617972017,48724996,SE3,SE33,SE332,53.2,18.0,186.8,0,3.2,4.21,20.3,478.5,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use,Yes,1
Sweden,20.369349685,67.072470502,47744918,SE3,SE33,SE332,26.8,1.6,34.0,0,3.5,4.26,4.87,41.3,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,2
Sweden,16.123287091,58.513116131,46783950,SE1,SE12,SE123,24.7,3.3,66.3,0,3.8,4.12,20.7,79.5,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,2
