Country,LONG,LAT,Point_ID,PTotal
Slovakia,18.442260000198928,48.94844000030582,49382906,723.37
Czech Republic,18.58298000002702,49.75161999966332,49382996,342.84
Poland,18.827590000078487,51.07137999998707,49383144,562.75
Poland,18.914189999768723,51.51700999991164,49383194,301.84
Poland,18.928229999714745,51.58828999998354,49383202,183.01
Poland,19.017299999995032,52.033750000162456,49383252,490.76
Poland,19.400389999998534,53.83213999966131,49383454,481.66
Finland,21.699540000270872,61.75297000016542,49384346,444.04
Finland,21.82066000005898,62.07196000025385,49384382,70.48
Finland,21.896060000368777,62.26686000028883,49384404,168.15
Finland,21.944629999974552,62.39089000027337,49384418,159.93
Finland,22.08585999993909,62.74514000041074,49384458,42.75
Finland,22.36493999958134,63.41808999985369,49384534,907.19
Sweden,23.61486499991986,66.05324199961865,49384832,834.78
Finland,24.65755999999408,67.87077000033531,49385038,104.67
Finland,24.757129999749736,68.02939999961035,49385056,86.12
Italy,17.288649999697782,40.57709000010345,49401972,397.93
Hungary,18.10941000037127,46.71269999960538,49402656,966.84
Hungary,18.13090999989663,46.87372000027784,49402674,824.84
Hungary,18.15594999989264,47.03463999993608,49402692,482.9
Slovakia,18.31039999976025,47.99982999975475,49402800,714.66
Slovakia,18.36355000013248,48.32138999964883,49402836,864.33
Poland,19.01025999999905,51.853360000163946,49403232,603.46
Finland,21.476690000043504,61.04097999992712,49404266,773.14
Finland,21.80387999966229,61.92720000027987,49404366,688.11
Finland,22.03159000007849,62.51182999985468,49404432,973.15
Finland,22.24919000011846,63.04291000039626,49404492,829.64
Finland,22.273840000115968,63.1156999999551,49404500,950.29
Finland,22.413750000362256,63.43343000039425,49404536,1142.06
Hungary,18.023662000401032,45.9951639999187,49422576,799.86
Hungary,18.053130000449187,46.19196999971575,49422598,547.79
Hungary,18.099230000364287,46.47830999960684,49422630,986.86
Hungary,18.21308000034179,47.22933999974123,49422714,1558.88
Hungary,18.22156999975573,47.2829600002039,49422720,442.69
Slovakia,18.2990600002189,47.7655300003093,49422774,1068.77
Poland,18.905030000034515,51.174000000099966,49423156,517.0
Poland,18.929359999664317,51.29875000001255,49423170,337.27
Poland,19.01403000028432,51.72644000000605,49423218,241.92
Poland,19.07883000010446,52.04709000020341,49423254,456.86
Poland,19.130100000114965,52.29638999979869,49423282,141.42
Poland,19.230799999820192,52.77729000023339,49423336,351.08
Poland,19.31490999979673,53.16896000020392,49423380,433.48
Poland,19.42073999955141,53.64948999976372,49423434,451.46
Poland,19.468730000289327,53.86306000011899,49423458,531.39
Poland,19.476760000073966,53.89861999961335,49423462,493.11
Poland,19.51321000014144,54.05876999973577,49423480,1191.46
Poland,19.529530000009515,54.129940000130944,49423488,36.23
Poland,19.54999999970028,54.21889000027335,49423498,390.25
Finland,21.648410000421222,61.41031000030631,49424308,897.97
Finland,21.794109999676778,61.80015999998409,49424352,270.59
Finland,21.937039999796184,62.17220999989166,49424394,185.37
Finland,22.39114999957286,63.287799999870174,49424520,636.79
Finland,22.435860000138973,63.39401999962337,49424532,276.64
Finland,22.473680000431727,63.4825199996983,49424542,693.51
Finland,22.54287999991209,63.64176000012395,49424560,1360.75
Sweden,23.64464700005908,65.94024800044491,49424820,1911.76
Sweden,23.69133700020245,66.02851000033633,49424830,1212.36
Finland,24.89461999991312,68.09211000017643,49425064,231.31
Italy,17.343899999785208,40.64560000013995,49441980,863.87
Italy,17.34806999963081,40.68166000020892,49441984,633.48
Hungary,18.060035999661693,46.06480199981252,49442584,771.94
Hungary,18.10820999989164,46.38778999990865,49442620,730.9
Hungary,18.15806999963081,46.708830000104456,49442656,730.31
Hungary,18.174749999912592,46.816130000199394,49442668,1003.71
Hungary,18.2507099999666,47.29885000002753,49442722,517.92
Slovakia,18.51767999963232,48.90661999991312,49442902,988.17
Slovakia,18.5672599999491,49.1921500002224,49442934,724.95
Poland,18.898870000150453,50.99357000005551,49443136,1426.18
Poland,18.971559999594376,51.36783999981617,49443178,310.53
Poland,19.003600000439747,51.52821000019139,49443196,469.13
Poland,19.13338000028682,52.16956000019388,49443268,325.72
Poland,19.59007999989211,54.25208000019188,49443502,463.89
Finland,21.52410000011497,60.96427000036027,49444258,561.41
Finland,21.72468000038174,61.51365999990912,49444320,802.81
Finland,22.04688000011197,62.34621999975326,49444414,889.02
Finland,22.45981000023136,63.35546000027887,49444528,342.59
